origin,body,frame,file,n_events,n_pairs,n_near45,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,samedate_sep_median,samedate_sep_p90,daily_drift_med_deg_per_day,operational_scale_flag
EA G-AZ,MO,G-AZ_x_G-RA,EA_G-AZ_x_MO_G-RA,46152,297352,80481,2.0,4.0,1.0,2.0,17.0,13.333333333333334,marginal
EA,PFff,G-LON,EA_x_PFff_G-LON,46152,297352,80481,2.0,7.0,2.0,4.0,15.0,12.465614601631074,marginal
EA,PFff,G-RA,EA_x_PFff_G-RA,46152,297352,80481,2.0,8.0,3.0,4.0,14.0,12.591406471986039,marginal
MC,PFff,G-LON,MC_x_PFff_G-LON,46152,297352,80481,2.0,8.0,3.0,4.0,13.0,12.60709071398309,marginal
MC,PFff,G-RA,MC_x_PFff_G-RA,46152,297352,80481,2.0,8.0,3.0,4.0,14.0,12.591406471986042,marginal
ME,VE,G-AZ,ME_x_VE_G-AZ,46152,297352,80481,2.0,13.0,2.0,3.0,34.0,,marginal
ME,SU,G-AZ,ME_x_SU_G-AZ,46152,297352,80481,1.0,8.0,1.0,2.0,23.0,,marginal
Asc,NE,G-AZ,Asc_x_NE_G-AZ,46152,297352,80481,7.0,20.0,6.0,10.0,88.0,,same-slate-discriminator
Asc,CE,G-AZ,Asc_x_CE_G-AZ,46152,297352,80481,6.0,22.0,6.0,10.0,88.0,,same-slate-discriminator
Asc,JN,G-AZ,Asc_x_JN_G-AZ,46152,297352,80481,6.0,18.0,5.0,9.0,79.0,,same-slate-discriminator
Asc,JU,G-AZ,Asc_x_JU_G-AZ,46152,297352,80481,6.0,19.0,5.0,9.0,81.0,,same-slate-discriminator
Asc,MA,G-AZ,Asc_x_MA_G-AZ,46152,297352,80481,6.0,21.0,6.0,10.0,90.0,,same-slate-discriminator
Asc,MO,G-AZ,Asc_x_MO_G-AZ,46152,297352,80481,6.0,20.0,5.0,9.0,79.0,,same-slate-discriminator
Asc,NN,G-AZ,Asc_x_NN_G-AZ,46152,297352,80481,6.0,19.0,5.0,9.0,82.0,,same-slate-discriminator
Asc,PL,G-AZ,Asc_x_PL_G-AZ,46152,297352,80481,6.0,21.0,6.0,10.0,88.0,,same-slate-discriminator
Asc,SA,G-AZ,Asc_x_SA_G-AZ,46152,297352,80481,6.0,20.0,6.0,10.0,85.0,,same-slate-discriminator
Asc,VE,G-AZ,Asc_x_VE_G-AZ,46152,297352,80481,6.0,19.0,5.0,9.0,88.0,,same-slate-discriminator
Asc,VS,G-AZ,Asc_x_VS_G-AZ,46152,297352,80481,6.0,21.0,5.0,10.0,83.0,,same-slate-discriminator
EA,CE,G-AZ,EA_x_CE_G-AZ,46152,297352,80481,6.0,21.0,6.0,9.0,90.0,,same-slate-discriminator
EA,JN,G-AZ,EA_x_JN_G-AZ,46152,297352,80481,6.0,18.0,5.0,9.0,84.0,,same-slate-discriminator
EA,JU,G-AZ,EA_x_JU_G-AZ,46152,297352,80481,6.0,19.0,5.0,9.0,84.0,,same-slate-discriminator
EA,MA,G-AZ,EA_x_MA_G-AZ,46152,297352,80481,6.0,20.0,6.0,9.0,93.0,,same-slate-discriminator
EA,MO,G-AZ,EA_x_MO_G-AZ,46152,297352,80481,6.0,19.0,5.0,8.0,82.0,,same-slate-discriminator
EA,NE,G-AZ,EA_x_NE_G-AZ,46152,297352,80481,6.0,19.0,6.0,9.0,91.0,,same-slate-discriminator
EA,NN,G-AZ,EA_x_NN_G-AZ,46152,297352,80481,6.0,19.0,5.0,9.0,85.0,,same-slate-discriminator
EA,PA,G-AZ,EA_x_PA_G-AZ,46152,297352,80481,6.0,19.0,6.0,9.0,74.0,,same-slate-discriminator
EA,PL,G-AZ,EA_x_PL_G-AZ,46152,297352,80481,6.0,20.0,6.0,9.0,91.0,,same-slate-discriminator
EA,SA,G-AZ,EA_x_SA_G-AZ,46152,297352,80481,6.0,19.0,6.0,9.0,88.0,,same-slate-discriminator
EA,UR,G-AZ,EA_x_UR_G-AZ,46152,297352,80481,6.0,18.0,5.0,9.0,81.0,,same-slate-discriminator
