feature_id,origin,body,frame,operational_class_provisional,resolution_mode,recommended_resolution_deg,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,daily_drift_deg_per_day,n_pairs,n_near45,dt_bin_profile_ref,exploratory_only,audit_version,master_sha256,timestamp_utc
ME_x_CE_G-AZ,ME,CE,G-AZ,marginal,same-slate,3,3.0,20.0,3.0,,297352,80481,ME_x_CE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_JN_G-AZ,ME,JN,G-AZ,marginal,same-slate,3,3.0,15.0,3.0,,297352,80481,ME_x_JN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_JU_G-AZ,ME,JU,G-AZ,marginal,same-slate,3,3.0,16.0,3.0,,297352,80481,ME_x_JU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_MA_G-AZ,ME,MA,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,ME_x_MA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_NE_G-AZ,ME,NE,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,ME_x_NE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_NN_G-AZ,ME,NN,G-AZ,marginal,same-slate,3,3.0,16.0,3.0,,297352,80481,ME_x_NN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_PA_G-AZ,ME,PA,G-AZ,marginal,same-slate,4,4.0,18.0,4.0,,297352,80481,ME_x_PA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_PL_G-AZ,ME,PL,G-AZ,marginal,same-slate,3,3.0,18.0,3.0,,297352,80481,ME_x_PL_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_SA_G-AZ,ME,SA,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,ME_x_SA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_SU_G-AZ,ME,SU,G-AZ,marginal,same-slate,1,1.0,8.0,1.0,,297352,80481,ME_x_SU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_UR_G-AZ,ME,UR,G-AZ,marginal,same-slate,3,3.0,15.0,3.0,,297352,80481,ME_x_UR_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_VE_G-AZ,ME,VE,G-AZ,marginal,same-slate,2,2.0,13.0,2.0,,297352,80481,ME_x_VE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_VS_G-AZ,ME,VS,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,ME_x_VS_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_CE_G-AZ,MO,CE,G-AZ,marginal,same-slate,3,3.0,20.0,3.0,,297352,80481,MO_x_CE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_JN_G-AZ,MO,JN,G-AZ,marginal,same-slate,3,3.0,15.0,3.0,,297352,80481,MO_x_JN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_JU_G-AZ,MO,JU,G-AZ,marginal,same-slate,3,3.0,16.0,3.0,,297352,80481,MO_x_JU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_MA_G-AZ,MO,MA,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,MO_x_MA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_ME_G-AZ,MO,ME,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,MO_x_ME_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_NE_G-AZ,MO,NE,G-AZ,marginal,same-slate,3,3.0,16.0,3.0,,297352,80481,MO_x_NE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_NN_G-AZ,MO,NN,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,MO_x_NN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_PA_G-AZ,MO,PA,G-AZ,marginal,same-slate,4,4.0,17.0,4.0,,297352,80481,MO_x_PA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_PL_G-AZ,MO,PL,G-AZ,marginal,same-slate,3,3.0,18.0,3.0,,297352,80481,MO_x_PL_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_SA_G-AZ,MO,SA,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,MO_x_SA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_SU_G-AZ,MO,SU,G-AZ,marginal,same-slate,3,3.0,18.0,3.0,,297352,80481,MO_x_SU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_UR_G-AZ,MO,UR,G-AZ,marginal,same-slate,3,3.0,15.0,3.0,,297352,80481,MO_x_UR_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
