feature_id,origin,body,frame,operational_class_provisional,resolution_mode,recommended_resolution_deg,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,daily_drift_deg_per_day,n_pairs,n_near45,dt_bin_profile_ref,exploratory_only,audit_version,master_sha256,timestamp_utc
Asc_x_UR_G-AZ,Asc,UR,G-AZ,same-slate-discriminator,same-slate,5,5.0,18.0,5.0,,297352,80481,Asc_x_UR_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_UR_G-LON,Asc,UR,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.02720716306979,297352,80481,Asc_x_UR_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_UR_G-RA,Asc,UR,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.72554430228223,297352,80481,Asc_x_UR_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_VE_G-AZ,Asc,VE,G-AZ,same-slate-discriminator,same-slate,6,6.0,19.0,5.0,,297352,80481,Asc_x_VE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_VE_G-LON,Asc,VE,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.198489811813715,297352,80481,Asc_x_VE_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_VE_G-RA,Asc,VE,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.87694205015157,297352,80481,Asc_x_VE_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_VS_G-AZ,Asc,VS,G-AZ,same-slate-discriminator,same-slate,6,6.0,21.0,5.0,,297352,80481,Asc_x_VS_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_VS_G-LON,Asc,VS,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.03412901708037,297352,80481,Asc_x_VS_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_VS_G-RA,Asc,VS,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.709426546837022,297352,80481,Asc_x_VS_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_G-LON_x_MO_G-RA,Asc G-LON,MO,G-LON_x_G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,25.586533549615822,297352,80481,Asc_G-LON_x_MO_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_G-RA_x_MO_G-LON,Asc G-RA,MO,G-RA_x_G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,25.70023300847359,297352,80481,Asc_G-RA_x_MO_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_CE_G-AZ,EA,CE,G-AZ,same-slate-discriminator,same-slate,6,6.0,21.0,6.0,,297352,80481,EA_x_CE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_CE_G-LON,EA,CE,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.713348880179936,297352,80481,EA_x_CE_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_CE_G-RA,EA,CE,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.5,297352,80481,EA_x_CE_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_JN_G-AZ,EA,JN,G-AZ,same-slate-discriminator,same-slate,6,6.0,18.0,5.0,,297352,80481,EA_x_JN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_JN_G-LON,EA,JN,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.754327186019864,297352,80481,EA_x_JN_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_JN_G-RA,EA,JN,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.50814711126012,297352,80481,EA_x_JN_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_JU_G-AZ,EA,JU,G-AZ,same-slate-discriminator,same-slate,6,6.0,19.0,5.0,,297352,80481,EA_x_JU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_JU_G-LON,EA,JU,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.65344765393251,297352,80481,EA_x_JU_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_JU_G-RA,EA,JU,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.465653248316784,297352,80481,EA_x_JU_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_MA_G-AZ,EA,MA,G-AZ,same-slate-discriminator,same-slate,6,6.0,20.0,6.0,,297352,80481,EA_x_MA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_MA_G-LON,EA,MA,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.71321970638473,297352,80481,EA_x_MA_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_MA_G-RA,EA,MA,G-RA,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.53658967851041,297352,80481,EA_x_MA_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_ME_G-AZ,EA,ME,G-AZ,same-slate-discriminator,same-slate,5,5.0,20.0,4.0,,297352,80481,EA_x_ME_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_ME_G-LON,EA,ME,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.79597822416322,297352,80481,EA_x_ME_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_ME_G-RA,EA,ME,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.71730389994994,297352,80481,EA_x_ME_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_MO_G-AZ,EA,MO,G-AZ,same-slate-discriminator,same-slate,6,6.0,19.0,5.0,,297352,80481,EA_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_MO_G-LON,EA,MO,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,27.39115058936062,297352,80481,EA_x_MO_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_MO_G-RA,EA,MO,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,27.23374856774485,297352,80481,EA_x_MO_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_NE_G-AZ,EA,NE,G-AZ,same-slate-discriminator,same-slate,6,6.0,19.0,6.0,,297352,80481,EA_x_NE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_NE_G-LON,EA,NE,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.68722713265413,297352,80481,EA_x_NE_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_NE_G-RA,EA,NE,G-RA,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.51911336902029,297352,80481,EA_x_NE_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_NN_G-AZ,EA,NN,G-AZ,same-slate-discriminator,same-slate,6,6.0,19.0,5.0,,297352,80481,EA_x_NN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_NN_G-LON,EA,NN,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.68409816319962,297352,80481,EA_x_NN_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_NN_G-RA,EA,NN,G-RA,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.465433418617778,297352,80481,EA_x_NN_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PA_G-AZ,EA,PA,G-AZ,same-slate-discriminator,same-slate,6,6.0,19.0,6.0,,297352,80481,EA_x_PA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PA_G-LON,EA,PA,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.679315174840298,297352,80481,EA_x_PA_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PA_G-RA,EA,PA,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.5,297352,80481,EA_x_PA_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PL_G-AZ,EA,PL,G-AZ,same-slate-discriminator,same-slate,6,6.0,20.0,6.0,,297352,80481,EA_x_PL_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PL_G-LON,EA,PL,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.717077061939904,297352,80481,EA_x_PL_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PL_G-RA,EA,PL,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.49008723851972,297352,80481,EA_x_PL_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_SA_G-AZ,EA,SA,G-AZ,same-slate-discriminator,same-slate,6,6.0,19.0,6.0,,297352,80481,EA_x_SA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_SA_G-LON,EA,SA,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.646649404180664,297352,80481,EA_x_SA_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_SA_G-RA,EA,SA,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.50000000000001,297352,80481,EA_x_SA_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_SU_G-LON,EA,SU,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.754567020811777,297352,80481,EA_x_SU_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_SU_G-RA,EA,SU,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.638422310871647,297352,80481,EA_x_SU_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_UR_G-AZ,EA,UR,G-AZ,same-slate-discriminator,same-slate,6,6.0,18.0,5.0,,297352,80481,EA_x_UR_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_UR_G-LON,EA,UR,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.65430403840574,297352,80481,EA_x_UR_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_UR_G-RA,EA,UR,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.55680620020428,297352,80481,EA_x_UR_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_VE_G-AZ,EA,VE,G-AZ,same-slate-discriminator,same-slate,5,5.0,18.0,5.0,,297352,80481,EA_x_VE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_VE_G-LON,EA,VE,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.68409816319962,297352,80481,EA_x_VE_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_VE_G-RA,EA,VE,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.70482527164685,297352,80481,EA_x_VE_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_VS_G-AZ,EA,VS,G-AZ,same-slate-discriminator,same-slate,6,6.0,20.0,6.0,,297352,80481,EA_x_VS_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_VS_G-LON,EA,VS,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.779285759191037,297352,80481,EA_x_VS_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_VS_G-RA,EA,VS,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.51203427208988,297352,80481,EA_x_VS_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_G-LON_x_MO_G-RA,EA G-LON,MO,G-LON_x_G-RA,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,27.244101278070826,297352,80481,EA_G-LON_x_MO_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_G-RA_x_MO_G-LON,EA G-RA,MO,G-RA_x_G-LON,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,27.34033566562253,297352,80481,EA_G-RA_x_MO_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_CE_G-LON,MC,CE,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.44406274230681,297352,80481,MC_x_CE_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_CE_G-RA,MC,CE,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.5,297352,80481,MC_x_CE_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_JN_G-LON,MC,JN,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.564049674280973,297352,80481,MC_x_JN_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_JN_G-RA,MC,JN,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.508147111260115,297352,80481,MC_x_JN_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_JU_G-LON,MC,JU,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.498135445050597,297352,80481,MC_x_JU_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_JU_G-RA,MC,JU,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.46565324831681,297352,80481,MC_x_JU_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_MA_G-LON,MC,MA,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.61476426939024,297352,80481,MC_x_MA_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_MA_G-RA,MC,MA,G-RA,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.53658967851044,297352,80481,MC_x_MA_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_ME_G-LON,MC,ME,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.647962575832366,297352,80481,MC_x_ME_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_ME_G-RA,MC,ME,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.71730389994991,297352,80481,MC_x_ME_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_MO_G-LON,MC,MO,G-LON,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,27.051002980932356,297352,80481,MC_x_MO_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_MO_G-RA,MC,MO,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,27.23374856774484,297352,80481,MC_x_MO_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_NE_G-LON,MC,NE,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.41760741283609,297352,80481,MC_x_NE_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_NE_G-RA,MC,NE,G-RA,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.51911336902032,297352,80481,MC_x_NE_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_NN_G-LON,MC,NN,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.40724210387881,297352,80481,MC_x_NN_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_NN_G-RA,MC,NN,G-RA,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.46543341861781,297352,80481,MC_x_NN_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_PA_G-LON,MC,PA,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.48843233907911,297352,80481,MC_x_PA_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_PA_G-RA,MC,PA,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.499999999999982,297352,80481,MC_x_PA_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_PL_G-LON,MC,PL,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.44361743294188,297352,80481,MC_x_PL_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_PL_G-RA,MC,PL,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.49008723851976,297352,80481,MC_x_PL_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_SA_G-LON,MC,SA,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.453146265411647,297352,80481,MC_x_SA_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_SA_G-RA,MC,SA,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.5,297352,80481,MC_x_SA_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_SU_G-LON,MC,SU,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.7389074941288,297352,80481,MC_x_SU_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_SU_G-RA,MC,SU,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.638422310871704,297352,80481,MC_x_SU_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_UR_G-LON,MC,UR,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.418110929446726,297352,80481,MC_x_UR_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_UR_G-RA,MC,UR,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.55680620020433,297352,80481,MC_x_UR_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_VE_G-LON,MC,VE,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.75511708306493,297352,80481,MC_x_VE_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_VE_G-RA,MC,VE,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.704825271646826,297352,80481,MC_x_VE_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_VS_G-LON,MC,VS,G-LON,same-slate-discriminator,same-slate,5,5.0,15.0,5.0,23.463069322326877,297352,80481,MC_x_VS_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_VS_G-RA,MC,VS,G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,23.51203427208988,297352,80481,MC_x_VS_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_G-LON_x_MO_G-RA,MC G-LON,MO,G-LON_x_G-RA,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,27.102168628898298,297352,80481,MC_G-LON_x_MO_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_G-RA_x_MO_G-LON,MC G-RA,MO,G-RA_x_G-LON,same-slate-discriminator,same-slate,5,5.0,14.0,5.0,27.34033566562252,297352,80481,MC_G-RA_x_MO_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
VX_x_CE_G-LON,VX,CE,G-LON,same-slate-discriminator,same-slate,6,6.0,23.0,6.0,21.693254685556557,297352,80481,VX_x_CE_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
VX_x_CE_G-RA,VX,CE,G-RA,same-slate-discriminator,same-slate,6,6.0,24.0,6.0,21.634609701486816,297352,80481,VX_x_CE_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
VX_x_JN_G-LON,VX,JN,G-LON,same-slate-discriminator,same-slate,6,6.0,23.0,6.0,21.712664564175057,297352,80481,VX_x_JN_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
VX_x_JN_G-RA,VX,JN,G-RA,same-slate-discriminator,same-slate,6,6.0,24.0,6.0,21.67984319437676,297352,80481,VX_x_JN_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
