origin,body,frame,dt_bin,n_pairs,dt_median_min,sep_median,sep_p90
Asc,JN,G-LON,30-45,15407,32.0,6.0,17.0
Asc,JN,G-LON,45-90,53296,60.0,5.0,16.0
Asc,JN,G-LON,90-180,70030,125.0,7.0,32.0
Asc,JN,G-LON,180-360,65469,211.0,46.0,85.0
Asc,JN,G-LON,>360,28565,418.0,79.0,105.0
Asc,JN,G-RA,<=15,54228,3.0,5.0,15.0
Asc,JN,G-RA,15-30,10357,25.0,6.0,18.0
Asc,JN,G-RA,30-45,15407,32.0,6.0,17.0
Asc,JN,G-RA,45-90,53296,60.0,5.0,16.0
Asc,JN,G-RA,90-180,70030,125.0,7.0,32.0
Asc,JN,G-RA,180-360,65469,211.0,45.0,87.0
Asc,JN,G-RA,>360,28565,418.0,77.0,108.0
Asc,JU,G-AZ,<=15,54228,3.0,6.0,18.0
Asc,JU,G-AZ,15-30,10357,25.0,6.0,22.0
Asc,JU,G-AZ,30-45,15407,32.0,6.0,22.0
Asc,JU,G-AZ,45-90,53296,60.0,5.0,19.0
Asc,JU,G-AZ,90-180,70030,125.0,7.0,30.0
Asc,JU,G-AZ,180-360,65469,211.0,32.0,107.0
Asc,JU,G-AZ,>360,28565,418.0,79.0,127.0
Asc,JU,G-LON,<=15,54228,3.0,5.0,15.0
Asc,JU,G-LON,15-30,10357,25.0,6.0,18.0
Asc,JU,G-LON,30-45,15407,32.0,6.0,17.0
Asc,JU,G-LON,45-90,53296,60.0,5.0,16.0
Asc,JU,G-LON,90-180,70030,125.0,7.0,32.0
Asc,JU,G-LON,180-360,65469,211.0,46.0,85.0
Asc,JU,G-LON,>360,28565,418.0,79.0,105.0
Asc,JU,G-RA,<=15,54228,3.0,5.0,15.0
Asc,JU,G-RA,15-30,10357,25.0,6.0,17.0
Asc,JU,G-RA,30-45,15407,32.0,6.0,17.0
Asc,JU,G-RA,45-90,53296,60.0,5.0,16.0
Asc,JU,G-RA,90-180,70030,125.0,7.0,32.0
Asc,JU,G-RA,180-360,65469,211.0,45.0,87.0
Asc,JU,G-RA,>360,28565,418.0,77.0,108.0
Asc,MA,G-AZ,<=15,54228,3.0,6.0,19.0
Asc,MA,G-AZ,15-30,10357,25.0,7.0,24.0
Asc,MA,G-AZ,30-45,15407,32.0,6.0,23.0
Asc,MA,G-AZ,45-90,53296,60.0,6.0,20.0
Asc,MA,G-AZ,90-180,70030,125.0,7.0,34.0
Asc,MA,G-AZ,180-360,65469,211.0,35.0,114.0
Asc,MA,G-AZ,>360,28565,418.0,89.0,132.0
Asc,MA,G-LON,<=15,54228,3.0,5.0,15.0
Asc,MA,G-LON,15-30,10357,25.0,6.0,18.0
Asc,MA,G-LON,30-45,15407,32.0,6.0,17.0
Asc,MA,G-LON,45-90,53296,60.0,5.0,16.0
Asc,MA,G-LON,90-180,70030,125.0,7.0,32.0
Asc,MA,G-LON,180-360,65469,211.0,46.0,85.0
Asc,MA,G-LON,>360,28565,418.0,79.0,105.0
Asc,MA,G-RA,<=15,54228,3.0,5.0,15.0
Asc,MA,G-RA,15-30,10357,25.0,6.0,18.0
Asc,MA,G-RA,30-45,15407,32.0,6.0,17.0
Asc,MA,G-RA,45-90,53296,60.0,5.0,16.0
Asc,MA,G-RA,90-180,70030,125.0,7.0,32.0
Asc,MA,G-RA,180-360,65469,211.0,45.0,87.0
Asc,MA,G-RA,>360,28565,418.0,77.0,108.0
Asc,ME,G-AZ,<=15,54228,3.0,5.0,18.0
Asc,ME,G-AZ,15-30,10357,25.0,6.0,25.0
Asc,ME,G-AZ,30-45,15407,32.0,6.0,24.0
Asc,ME,G-AZ,45-90,53296,60.0,5.0,18.0
Asc,ME,G-AZ,90-180,70030,125.0,7.0,35.0
Asc,ME,G-AZ,180-360,65469,211.0,35.0,112.0
