origin,body,frame,dt_bin,n_pairs,dt_median_min,sep_median,sep_p90
EA G-RA,MO,G-RA_x_G-AZ,15-30,10357,25.0,3.0,14.0
EA G-RA,MO,G-RA_x_G-AZ,30-45,15407,32.0,3.0,12.0
EA G-RA,MO,G-RA_x_G-AZ,45-90,53296,60.0,3.0,11.0
EA G-RA,MO,G-RA_x_G-AZ,90-180,70030,125.0,4.0,15.0
EA G-RA,MO,G-RA_x_G-AZ,180-360,65469,211.0,11.0,39.0
EA G-RA,MO,G-RA_x_G-AZ,>360,28565,418.0,24.0,55.0
EA G-RA,MO,G-RA_x_G-LON,<=15,54228,3.0,5.0,13.0
EA G-RA,MO,G-RA_x_G-LON,15-30,10357,25.0,6.0,16.0
EA G-RA,MO,G-RA_x_G-LON,30-45,15407,32.0,6.0,16.0
EA G-RA,MO,G-RA_x_G-LON,45-90,53296,60.0,5.0,15.0
EA G-RA,MO,G-RA_x_G-LON,90-180,70030,125.0,6.0,34.0
EA G-RA,MO,G-RA_x_G-LON,180-360,65469,211.0,48.0,91.0
EA G-RA,MO,G-RA_x_G-LON,>360,28565,418.0,88.0,104.0
EA,CE,G-AZ,<=15,54228,3.0,6.0,20.0
EA,CE,G-AZ,15-30,10357,25.0,7.0,24.0
EA,CE,G-AZ,30-45,15407,32.0,6.0,23.0
EA,CE,G-AZ,45-90,53296,60.0,6.0,21.0
EA,CE,G-AZ,90-180,70030,125.0,7.0,36.0
EA,CE,G-AZ,180-360,65469,211.0,39.0,124.0
EA,CE,G-AZ,>360,28565,418.0,87.0,148.0
EA,CE,G-LON,<=15,54228,3.0,5.0,13.0
EA,CE,G-LON,15-30,10357,25.0,7.0,17.0
EA,CE,G-LON,30-45,15407,32.0,6.0,16.0
EA,CE,G-LON,45-90,53296,60.0,5.0,16.0
EA,CE,G-LON,90-180,70030,125.0,6.0,36.0
EA,CE,G-LON,180-360,65469,211.0,50.0,94.0
EA,CE,G-LON,>360,28565,418.0,92.0,109.0
EA,CE,G-RA,<=15,54228,3.0,5.0,13.0
EA,CE,G-RA,15-30,10357,25.0,6.0,17.0
EA,CE,G-RA,30-45,15407,32.0,6.0,16.0
EA,CE,G-RA,45-90,53296,60.0,5.0,16.0
EA,CE,G-RA,90-180,70030,125.0,6.0,36.0
EA,CE,G-RA,180-360,65469,211.0,51.0,94.0
EA,CE,G-RA,>360,28565,418.0,92.0,108.0
EA,JN,G-AZ,<=15,54228,3.0,5.0,17.0
EA,JN,G-AZ,15-30,10357,25.0,6.0,20.0
EA,JN,G-AZ,30-45,15407,32.0,6.0,19.0
EA,JN,G-AZ,45-90,53296,60.0,5.0,18.0
EA,JN,G-AZ,90-180,70030,125.0,6.0,32.0
EA,JN,G-AZ,180-360,65469,211.0,40.0,104.0
EA,JN,G-AZ,>360,28565,418.0,85.0,123.0
EA,JN,G-LON,<=15,54228,3.0,5.0,13.0
EA,JN,G-LON,15-30,10357,25.0,7.0,17.0
EA,JN,G-LON,30-45,15407,32.0,6.0,16.0
EA,JN,G-LON,45-90,53296,60.0,5.0,16.0
EA,JN,G-LON,90-180,70030,125.0,6.0,36.0
EA,JN,G-LON,180-360,65469,211.0,50.0,94.0
EA,JN,G-LON,>360,28565,418.0,92.0,109.0
EA,JN,G-RA,<=15,54228,3.0,5.0,13.0
EA,JN,G-RA,15-30,10357,25.0,6.0,17.0
EA,JN,G-RA,30-45,15407,32.0,6.0,16.0
EA,JN,G-RA,45-90,53296,60.0,5.0,16.0
EA,JN,G-RA,90-180,70030,125.0,6.0,36.0
EA,JN,G-RA,180-360,65469,211.0,51.0,94.0
EA,JN,G-RA,>360,28565,418.0,92.0,108.0
EA,JU,G-AZ,<=15,54228,3.0,5.0,18.0
EA,JU,G-AZ,15-30,10357,25.0,6.0,21.0
EA,JU,G-AZ,30-45,15407,32.0,6.0,20.0
EA,JU,G-AZ,45-90,53296,60.0,5.0,19.0
EA,JU,G-AZ,90-180,70030,125.0,6.0,32.0
EA,JU,G-AZ,180-360,65469,211.0,37.0,110.0
EA,JU,G-AZ,>360,28565,418.0,84.0,133.0
EA,JU,G-LON,<=15,54228,3.0,5.0,13.0
EA,JU,G-LON,15-30,10357,25.0,6.0,17.0
EA,JU,G-LON,30-45,15407,32.0,6.0,16.0
EA,JU,G-LON,45-90,53296,60.0,5.0,16.0
EA,JU,G-LON,90-180,70030,125.0,6.0,36.0
EA,JU,G-LON,180-360,65469,211.0,51.0,94.0
EA,JU,G-LON,>360,28565,418.0,92.0,109.0
EA,JU,G-RA,<=15,54228,3.0,5.0,13.0
EA,JU,G-RA,15-30,10357,25.0,6.0,17.0
EA,JU,G-RA,30-45,15407,32.0,6.0,16.0
EA,JU,G-RA,45-90,53296,60.0,5.0,16.0
EA,JU,G-RA,90-180,70030,125.0,6.0,36.0
EA,JU,G-RA,180-360,65469,211.0,51.0,94.0
EA,JU,G-RA,>360,28565,418.0,92.0,108.0
EA,MA,G-AZ,<=15,54228,3.0,5.0,18.0
EA,MA,G-AZ,15-30,10357,25.0,7.0,24.0
EA,MA,G-AZ,30-45,15407,32.0,6.0,21.0
EA,MA,G-AZ,45-90,53296,60.0,6.0,20.0
EA,MA,G-AZ,90-180,70030,125.0,7.0,35.0
EA,MA,G-AZ,180-360,65469,211.0,40.0,119.0
EA,MA,G-AZ,>360,28565,418.0,92.0,140.0
EA,MA,G-LON,<=15,54228,3.0,5.0,13.0
EA,MA,G-LON,15-30,10357,25.0,6.0,17.0
EA,MA,G-LON,30-45,15407,32.0,6.0,16.0
EA,MA,G-LON,45-90,53296,60.0,5.0,16.0
EA,MA,G-LON,90-180,70030,125.0,6.0,36.0
EA,MA,G-LON,180-360,65469,211.0,50.0,94.0
EA,MA,G-LON,>360,28565,418.0,92.0,109.0
EA,MA,G-RA,<=15,54228,3.0,5.0,13.0
EA,MA,G-RA,15-30,10357,25.0,6.0,17.0
EA,MA,G-RA,30-45,15407,32.0,6.0,16.0
EA,MA,G-RA,45-90,53296,60.0,5.0,16.0
EA,MA,G-RA,90-180,70030,125.0,6.0,36.0
EA,MA,G-RA,180-360,65469,211.0,51.0,94.0
EA,MA,G-RA,>360,28565,418.0,92.0,108.0
EA,ME,G-AZ,<=15,54228,3.0,4.0,17.0
EA,ME,G-AZ,15-30,10357,25.0,6.0,25.0
EA,ME,G-AZ,30-45,15407,32.0,6.0,23.0
EA,ME,G-AZ,45-90,53296,60.0,4.0,18.0
EA,ME,G-AZ,90-180,70030,125.0,5.0,36.0
EA,ME,G-AZ,180-360,65469,211.0,40.0,116.0
EA,ME,G-AZ,>360,28565,418.0,99.0,137.0
EA,ME,G-LON,<=15,54228,3.0,5.0,13.0
EA,ME,G-LON,15-30,10357,25.0,6.0,17.0
EA,ME,G-LON,30-45,15407,32.0,6.0,16.0
EA,ME,G-LON,45-90,53296,60.0,5.0,16.0
EA,ME,G-LON,90-180,70030,125.0,6.0,36.0
EA,ME,G-LON,180-360,65469,211.0,50.0,94.0
EA,ME,G-LON,>360,28565,418.0,92.0,109.0
EA,ME,G-RA,<=15,54228,3.0,5.0,13.0
EA,ME,G-RA,15-30,10357,25.0,6.0,17.0
EA,ME,G-RA,30-45,15407,32.0,6.0,16.0
EA,ME,G-RA,45-90,53296,60.0,5.0,16.0
EA,ME,G-RA,90-180,70030,125.0,6.0,36.0
EA,ME,G-RA,180-360,65469,211.0,50.0,94.0
EA,ME,G-RA,>360,28565,418.0,92.0,108.0
EA,MO,G-AZ,<=15,54228,3.0,5.0,18.0
EA,MO,G-AZ,15-30,10357,25.0,6.0,22.0
EA,MO,G-AZ,30-45,15407,32.0,6.0,20.0
EA,MO,G-AZ,45-90,53296,60.0,5.0,19.0
EA,MO,G-AZ,90-180,70030,125.0,6.0,32.0
EA,MO,G-AZ,180-360,65469,211.0,36.0,109.0
EA,MO,G-AZ,>360,28565,418.0,81.0,131.0
EA,MO,G-LON,<=15,54228,3.0,5.0,13.0
EA,MO,G-LON,15-30,10357,25.0,6.0,17.0
EA,MO,G-LON,30-45,15407,32.0,6.0,16.0
EA,MO,G-LON,45-90,53296,60.0,5.0,15.0
EA,MO,G-LON,90-180,70030,125.0,6.0,34.0
EA,MO,G-LON,180-360,65469,211.0,48.0,92.0
EA,MO,G-LON,>360,28565,418.0,88.0,105.0
EA,MO,G-RA,<=15,54228,3.0,5.0,13.0
EA,MO,G-RA,15-30,10357,25.0,6.0,16.0
EA,MO,G-RA,30-45,15407,32.0,6.0,16.0
EA,MO,G-RA,45-90,53296,60.0,5.0,15.0
EA,MO,G-RA,90-180,70030,125.0,6.0,34.0
EA,MO,G-RA,180-360,65469,211.0,48.0,91.0
EA,MO,G-RA,>360,28565,418.0,88.0,104.0
EA,NE,G-AZ,<=15,54228,3.0,6.0,19.0
EA,NE,G-AZ,15-30,10357,25.0,6.0,22.0
EA,NE,G-AZ,30-45,15407,32.0,6.0,20.0
EA,NE,G-AZ,45-90,53296,60.0,6.0,20.0
EA,NE,G-AZ,90-180,70030,125.0,7.0,32.0
EA,NE,G-AZ,180-360,65469,211.0,38.0,113.0
EA,NE,G-AZ,>360,28565,418.0,91.0,132.0
EA,NE,G-LON,<=15,54228,3.0,5.0,13.0
EA,NE,G-LON,15-30,10357,25.0,6.0,17.0
EA,NE,G-LON,30-45,15407,32.0,6.0,16.0
EA,NE,G-LON,45-90,53296,60.0,5.0,16.0
EA,NE,G-LON,90-180,70030,125.0,6.0,36.0
EA,NE,G-LON,180-360,65469,211.0,51.0,94.0
EA,NE,G-LON,>360,28565,418.0,92.0,109.0
EA,NE,G-RA,<=15,54228,3.0,5.0,13.0
EA,NE,G-RA,15-30,10357,25.0,6.0,17.0
EA,NE,G-RA,30-45,15407,32.0,6.0,16.0
EA,NE,G-RA,45-90,53296,60.0,5.0,16.0
EA,NE,G-RA,90-180,70030,125.0,6.0,36.0
EA,NE,G-RA,180-360,65469,211.0,51.0,94.0
EA,NE,G-RA,>360,28565,418.0,92.0,109.0
EA,NN,G-AZ,<=15,54228,3.0,5.0,17.0
EA,NN,G-AZ,15-30,10357,25.0,6.0,22.0
EA,NN,G-AZ,30-45,15407,32.0,6.0,20.0
EA,NN,G-AZ,45-90,53296,60.0,5.0,19.0
EA,NN,G-AZ,90-180,70030,125.0,6.0,32.0
EA,NN,G-AZ,180-360,65469,211.0,38.0,110.0
EA,NN,G-AZ,>360,28565,418.0,85.0,133.0
EA,NN,G-LON,<=15,54228,3.0,5.0,13.0
EA,NN,G-LON,15-30,10357,25.0,6.0,17.0
EA,NN,G-LON,30-45,15407,32.0,6.0,16.0
EA,NN,G-LON,45-90,53296,60.0,5.0,16.0
EA,NN,G-LON,90-180,70030,125.0,6.0,36.0
EA,NN,G-LON,180-360,65469,211.0,51.0,94.0
EA,NN,G-LON,>360,28565,418.0,92.0,109.0
EA,NN,G-RA,<=15,54228,3.0,5.0,13.0
EA,NN,G-RA,15-30,10357,25.0,6.0,17.0
EA,NN,G-RA,30-45,15407,32.0,6.0,16.0
EA,NN,G-RA,45-90,53296,60.0,5.0,16.0
EA,NN,G-RA,90-180,70030,125.0,6.0,36.0
EA,NN,G-RA,180-360,65469,211.0,51.0,94.0
EA,NN,G-RA,>360,28565,418.0,92.0,109.0
EA,PA,G-AZ,<=15,54228,3.0,5.0,18.0
EA,PA,G-AZ,15-30,10357,25.0,6.0,22.0
EA,PA,G-AZ,30-45,15407,32.0,6.0,19.0
EA,PA,G-AZ,45-90,53296,60.0,6.0,20.0
EA,PA,G-AZ,90-180,70030,125.0,6.0,31.0
EA,PA,G-AZ,180-360,65469,211.0,36.0,102.0
EA,PA,G-AZ,>360,28565,418.0,72.0,129.0
EA,PA,G-LON,<=15,54228,3.0,5.0,13.0
EA,PA,G-LON,15-30,10357,25.0,6.0,17.0
EA,PA,G-LON,30-45,15407,32.0,6.0,16.0
EA,PA,G-LON,45-90,53296,60.0,5.0,16.0
EA,PA,G-LON,90-180,70030,125.0,6.0,36.0
EA,PA,G-LON,180-360,65469,211.0,51.0,94.0
EA,PA,G-LON,>360,28565,418.0,92.0,109.0
EA,PA,G-RA,<=15,54228,3.0,5.0,13.0
EA,PA,G-RA,15-30,10357,25.0,6.0,17.0
EA,PA,G-RA,30-45,15407,32.0,6.0,16.0
EA,PA,G-RA,45-90,53296,60.0,5.0,16.0
EA,PA,G-RA,90-180,70030,125.0,6.0,36.0
EA,PA,G-RA,180-360,65469,211.0,51.0,94.0
EA,PA,G-RA,>360,28565,418.0,92.0,108.0
EA,PFdn,G-LON,<=15,54228,3.0,3.0,9.0
EA,PFdn,G-LON,15-30,10357,25.0,3.0,9.0
EA,PFdn,G-LON,30-45,15407,32.0,3.0,9.0
EA,PFdn,G-LON,45-90,53296,60.0,3.0,9.0
EA,PFdn,G-LON,90-180,70030,125.0,3.0,12.0
EA,PFdn,G-LON,180-360,65469,211.0,7.0,22.0
EA,PFdn,G-LON,>360,28565,418.0,15.0,26.0
EA,PFdn,G-RA,<=15,54228,3.0,3.0,9.0
EA,PFdn,G-RA,15-30,10357,25.0,3.0,9.0
EA,PFdn,G-RA,30-45,15407,32.0,3.0,9.0
EA,PFdn,G-RA,45-90,53296,60.0,3.0,9.0
EA,PFdn,G-RA,90-180,70030,125.0,3.0,12.0
EA,PFdn,G-RA,180-360,65469,211.0,7.0,21.0
EA,PFdn,G-RA,>360,28565,418.0,13.0,27.0
EA,PFff,G-LON,<=15,54228,3.0,2.0,7.0
EA,PFff,G-LON,15-30,10357,25.0,3.0,7.0
EA,PFff,G-LON,30-45,15407,32.0,2.0,7.0
EA,PFff,G-LON,45-90,53296,60.0,2.0,7.0
EA,PFff,G-LON,90-180,70030,125.0,3.0,9.0
EA,PFff,G-LON,180-360,65469,211.0,7.0,20.0
EA,PFff,G-LON,>360,28565,418.0,15.0,22.0
EA,PFff,G-RA,<=15,54228,3.0,2.0,8.0
EA,PFff,G-RA,15-30,10357,25.0,3.0,8.0
EA,PFff,G-RA,30-45,15407,32.0,2.0,7.0
EA,PFff,G-RA,45-90,53296,60.0,3.0,7.0
EA,PFff,G-RA,90-180,70030,125.0,3.0,9.0
EA,PFff,G-RA,180-360,65469,211.0,7.0,19.0
EA,PFff,G-RA,>360,28565,418.0,13.0,22.0
EA,PL,G-AZ,<=15,54228,3.0,5.0,19.0
EA,PL,G-AZ,15-30,10357,25.0,7.0,24.0
EA,PL,G-AZ,30-45,15407,32.0,6.0,23.0
EA,PL,G-AZ,45-90,53296,60.0,6.0,19.0
EA,PL,G-AZ,90-180,70030,125.0,7.0,35.0
EA,PL,G-AZ,180-360,65469,211.0,45.0,115.0
EA,PL,G-AZ,>360,28565,418.0,93.0,135.0
EA,PL,G-LON,<=15,54228,3.0,5.0,13.0
EA,PL,G-LON,15-30,10357,25.0,6.0,17.0
EA,PL,G-LON,30-45,15407,32.0,6.0,16.0
EA,PL,G-LON,45-90,53296,60.0,5.0,16.0
EA,PL,G-LON,90-180,70030,125.0,6.0,36.0
EA,PL,G-LON,180-360,65469,211.0,51.0,94.0
EA,PL,G-LON,>360,28565,418.0,92.0,109.0
EA,PL,G-RA,<=15,54228,3.0,5.0,13.0
EA,PL,G-RA,15-30,10357,25.0,6.0,17.0
EA,PL,G-RA,30-45,15407,32.0,6.0,16.0
EA,PL,G-RA,45-90,53296,60.0,5.0,16.0
EA,PL,G-RA,90-180,70030,125.0,6.0,36.0
EA,PL,G-RA,180-360,65469,211.0,51.0,94.0
EA,PL,G-RA,>360,28565,418.0,92.0,109.0
EA,SA,G-AZ,<=15,54228,3.0,5.0,18.0
EA,SA,G-AZ,15-30,10357,25.0,7.0,23.0
EA,SA,G-AZ,30-45,15407,32.0,6.0,21.0
EA,SA,G-AZ,45-90,53296,60.0,6.0,19.0
EA,SA,G-AZ,90-180,70030,125.0,7.0,33.0
EA,SA,G-AZ,180-360,65469,211.0,39.0,114.0
EA,SA,G-AZ,>360,28565,418.0,89.0,135.0
EA,SA,G-LON,<=15,54228,3.0,5.0,13.0
EA,SA,G-LON,15-30,10357,25.0,7.0,17.0
EA,SA,G-LON,30-45,15407,32.0,6.0,16.0
EA,SA,G-LON,45-90,53296,60.0,5.0,16.0
EA,SA,G-LON,90-180,70030,125.0,6.0,36.0
EA,SA,G-LON,180-360,65469,211.0,51.0,94.0
EA,SA,G-LON,>360,28565,418.0,92.0,109.0
EA,SA,G-RA,<=15,54228,3.0,5.0,13.0
EA,SA,G-RA,15-30,10357,25.0,6.0,17.0
EA,SA,G-RA,30-45,15407,32.0,6.0,16.0
EA,SA,G-RA,45-90,53296,60.0,5.0,16.0
EA,SA,G-RA,90-180,70030,125.0,6.0,36.0
EA,SA,G-RA,180-360,65469,211.0,51.0,94.0
EA,SA,G-RA,>360,28565,418.0,92.0,108.0
EA,SU,G-AZ,<=15,54228,3.0,4.0,18.0
EA,SU,G-AZ,15-30,10357,25.0,6.0,32.0
EA,SU,G-AZ,30-45,15407,32.0,6.0,29.0
EA,SU,G-AZ,45-90,53296,60.0,4.0,21.0
EA,SU,G-AZ,90-180,70030,125.0,5.0,42.0
EA,SU,G-AZ,180-360,65469,211.0,44.0,105.0
EA,SU,G-AZ,>360,28565,418.0,97.0,130.0
EA,SU,G-LON,<=15,54228,3.0,5.0,13.0
EA,SU,G-LON,15-30,10357,25.0,6.0,17.0
EA,SU,G-LON,30-45,15407,32.0,6.0,17.0
EA,SU,G-LON,45-90,53296,60.0,5.0,16.0
EA,SU,G-LON,90-180,70030,125.0,6.0,36.0
EA,SU,G-LON,180-360,65469,211.0,50.0,94.0
EA,SU,G-LON,>360,28565,418.0,92.0,109.0
EA,SU,G-RA,<=15,54228,3.0,5.0,13.0
EA,SU,G-RA,15-30,10357,25.0,7.0,17.0
EA,SU,G-RA,30-45,15407,32.0,6.0,16.0
EA,SU,G-RA,45-90,53296,60.0,5.0,16.0
EA,SU,G-RA,90-180,70030,125.0,6.0,36.0
EA,SU,G-RA,180-360,65469,211.0,51.0,94.0
EA,SU,G-RA,>360,28565,418.0,92.0,108.0
EA,UR,G-AZ,<=15,54228,3.0,6.0,17.0
EA,UR,G-AZ,15-30,10357,25.0,6.0,20.0
EA,UR,G-AZ,30-45,15407,32.0,5.0,19.0
EA,UR,G-AZ,45-90,53296,60.0,5.0,18.0
EA,UR,G-AZ,90-180,70030,125.0,6.0,32.0
EA,UR,G-AZ,180-360,65469,211.0,36.0,106.0
EA,UR,G-AZ,>360,28565,418.0,78.0,126.0
EA,UR,G-LON,<=15,54228,3.0,5.0,13.0
EA,UR,G-LON,15-30,10357,25.0,6.0,17.0
EA,UR,G-LON,30-45,15407,32.0,6.0,16.0
EA,UR,G-LON,45-90,53296,60.0,5.0,16.0
EA,UR,G-LON,90-180,70030,125.0,6.0,36.0
EA,UR,G-LON,180-360,65469,211.0,51.0,94.0
EA,UR,G-LON,>360,28565,418.0,92.0,109.0
EA,UR,G-RA,<=15,54228,3.0,5.0,13.0
EA,UR,G-RA,15-30,10357,25.0,6.0,17.0
EA,UR,G-RA,30-45,15407,32.0,6.0,16.0
EA,UR,G-RA,45-90,53296,60.0,5.0,16.0
EA,UR,G-RA,90-180,70030,125.0,6.0,36.0
EA,UR,G-RA,180-360,65469,211.0,51.0,94.0
EA,UR,G-RA,>360,28565,418.0,92.0,109.0
EA,VE,G-AZ,<=15,54228,3.0,5.0,16.0
EA,VE,G-AZ,15-30,10357,25.0,6.0,21.0
EA,VE,G-AZ,30-45,15407,32.0,6.0,20.0
EA,VE,G-AZ,45-90,53296,60.0,5.0,17.0
EA,VE,G-AZ,90-180,70030,125.0,6.0,32.0
EA,VE,G-AZ,180-360,65469,211.0,37.0,118.0
EA,VE,G-AZ,>360,28565,418.0,91.0,141.0
EA,VE,G-LON,<=15,54228,3.0,5.0,13.0
EA,VE,G-LON,15-30,10357,25.0,6.0,17.0
EA,VE,G-LON,30-45,15407,32.0,6.0,16.0
EA,VE,G-LON,45-90,53296,60.0,5.0,16.0
EA,VE,G-LON,90-180,70030,125.0,6.0,36.0
EA,VE,G-LON,180-360,65469,211.0,50.0,94.0
EA,VE,G-LON,>360,28565,418.0,92.0,109.0
EA,VE,G-RA,<=15,54228,3.0,5.0,13.0
EA,VE,G-RA,15-30,10357,25.0,6.0,17.0
EA,VE,G-RA,30-45,15407,32.0,6.0,16.0
EA,VE,G-RA,45-90,53296,60.0,5.0,16.0
EA,VE,G-RA,90-180,70030,125.0,6.0,36.0
EA,VE,G-RA,180-360,65469,211.0,51.0,94.0
EA,VE,G-RA,>360,28565,418.0,92.0,108.0
EA,VS,G-AZ,<=15,54228,3.0,6.0,19.0
EA,VS,G-AZ,15-30,10357,25.0,6.0,23.0
EA,VS,G-AZ,30-45,15407,32.0,6.0,21.0
EA,VS,G-AZ,45-90,53296,60.0,6.0,20.0
EA,VS,G-AZ,90-180,70030,125.0,7.0,33.0
EA,VS,G-AZ,180-360,65469,211.0,38.0,116.0
EA,VS,G-AZ,>360,28565,418.0,85.0,138.0
EA,VS,G-LON,<=15,54228,3.0,5.0,13.0
EA,VS,G-LON,15-30,10357,25.0,6.0,17.0
EA,VS,G-LON,30-45,15407,32.0,6.0,16.0
EA,VS,G-LON,45-90,53296,60.0,5.0,16.0
EA,VS,G-LON,90-180,70030,125.0,6.0,36.0
EA,VS,G-LON,180-360,65469,211.0,50.0,94.0
EA,VS,G-LON,>360,28565,418.0,92.0,109.0
EA,VS,G-RA,<=15,54228,3.0,5.0,13.0
EA,VS,G-RA,15-30,10357,25.0,6.0,17.0
EA,VS,G-RA,30-45,15407,32.0,6.0,16.0
EA,VS,G-RA,45-90,53296,60.0,5.0,16.0
EA,VS,G-RA,90-180,70030,125.0,6.0,36.0
EA,VS,G-RA,180-360,65469,211.0,51.0,94.0
EA,VS,G-RA,>360,28565,418.0,92.0,108.0
MC G-LON,MO,G-LON_x_G-AZ,<=15,54228,3.0,2.0,12.0
MC G-LON,MO,G-LON_x_G-AZ,15-30,10357,25.0,3.0,14.0
MC G-LON,MO,G-LON_x_G-AZ,30-45,15407,32.0,3.0,12.0
MC G-LON,MO,G-LON_x_G-AZ,45-90,53296,60.0,3.0,11.0
MC G-LON,MO,G-LON_x_G-AZ,90-180,70030,125.0,4.0,15.0
MC G-LON,MO,G-LON_x_G-AZ,180-360,65469,211.0,11.0,40.0
MC G-LON,MO,G-LON_x_G-AZ,>360,28565,418.0,23.0,57.0
MC G-LON,MO,G-LON_x_G-RA,<=15,54228,3.0,5.0,13.0
MC G-LON,MO,G-LON_x_G-RA,15-30,10357,25.0,6.0,16.0
MC G-LON,MO,G-LON_x_G-RA,30-45,15407,32.0,6.0,16.0
MC G-LON,MO,G-LON_x_G-RA,45-90,53296,60.0,5.0,15.0
MC G-LON,MO,G-LON_x_G-RA,90-180,70030,125.0,6.0,34.0
MC G-LON,MO,G-LON_x_G-RA,180-360,65469,211.0,48.0,92.0
MC G-LON,MO,G-LON_x_G-RA,>360,28565,418.0,88.0,105.0
MC G-RA,MO,G-RA_x_G-AZ,<=15,54228,3.0,2.0,12.0
MC G-RA,MO,G-RA_x_G-AZ,15-30,10357,25.0,3.0,14.0
MC G-RA,MO,G-RA_x_G-AZ,30-45,15407,32.0,3.0,12.0
MC G-RA,MO,G-RA_x_G-AZ,45-90,53296,60.0,3.0,11.0
MC G-RA,MO,G-RA_x_G-AZ,90-180,70030,125.0,4.0,15.0
MC G-RA,MO,G-RA_x_G-AZ,180-360,65469,211.0,11.0,39.0
MC G-RA,MO,G-RA_x_G-AZ,>360,28565,418.0,24.0,55.0
MC G-RA,MO,G-RA_x_G-LON,<=15,54228,3.0,5.0,13.0
MC G-RA,MO,G-RA_x_G-LON,15-30,10357,25.0,6.0,16.0
MC G-RA,MO,G-RA_x_G-LON,30-45,15407,32.0,6.0,16.0
MC G-RA,MO,G-RA_x_G-LON,45-90,53296,60.0,5.0,15.0
MC G-RA,MO,G-RA_x_G-LON,90-180,70030,125.0,6.0,34.0
MC G-RA,MO,G-RA_x_G-LON,180-360,65469,211.0,48.0,91.0
MC G-RA,MO,G-RA_x_G-LON,>360,28565,418.0,88.0,104.0
MC,CE,G-LON,<=15,54228,3.0,5.0,13.0
MC,CE,G-LON,15-30,10357,25.0,6.0,17.0
MC,CE,G-LON,30-45,15407,32.0,6.0,16.0
MC,CE,G-LON,45-90,53296,60.0,5.0,16.0
MC,CE,G-LON,90-180,70030,125.0,6.0,35.0
MC,CE,G-LON,180-360,65469,211.0,50.0,94.0
MC,CE,G-LON,>360,28565,418.0,92.0,109.0
MC,CE,G-RA,<=15,54228,3.0,5.0,13.0
MC,CE,G-RA,15-30,10357,25.0,6.0,17.0
MC,CE,G-RA,30-45,15407,32.0,6.0,16.0
MC,CE,G-RA,45-90,53296,60.0,5.0,16.0
MC,CE,G-RA,90-180,70030,125.0,6.0,36.0
MC,CE,G-RA,180-360,65469,211.0,51.0,94.0
MC,CE,G-RA,>360,28565,418.0,92.0,108.0
MC,JN,G-LON,<=15,54228,3.0,5.0,13.0
MC,JN,G-LON,15-30,10357,25.0,6.0,17.0
MC,JN,G-LON,30-45,15407,32.0,6.0,16.0
MC,JN,G-LON,45-90,53296,60.0,5.0,16.0
MC,JN,G-LON,90-180,70030,125.0,6.0,35.0
MC,JN,G-LON,180-360,65469,211.0,50.0,94.0
MC,JN,G-LON,>360,28565,418.0,92.0,109.0
MC,JN,G-RA,<=15,54228,3.0,5.0,13.0
MC,JN,G-RA,15-30,10357,25.0,6.0,17.0
MC,JN,G-RA,30-45,15407,32.0,6.0,16.0
MC,JN,G-RA,45-90,53296,60.0,5.0,16.0
MC,JN,G-RA,90-180,70030,125.0,6.0,36.0
MC,JN,G-RA,180-360,65469,211.0,51.0,94.0
MC,JN,G-RA,>360,28565,418.0,92.0,108.0
MC,JU,G-LON,<=15,54228,3.0,5.0,13.0
MC,JU,G-LON,15-30,10357,25.0,6.0,17.0
MC,JU,G-LON,30-45,15407,32.0,6.0,16.0
MC,JU,G-LON,45-90,53296,60.0,5.0,16.0
MC,JU,G-LON,90-180,70030,125.0,6.0,35.0
MC,JU,G-LON,180-360,65469,211.0,50.0,94.0
MC,JU,G-LON,>360,28565,418.0,92.0,109.0
MC,JU,G-RA,<=15,54228,3.0,5.0,13.0
MC,JU,G-RA,15-30,10357,25.0,6.0,17.0
MC,JU,G-RA,30-45,15407,32.0,6.0,16.0
MC,JU,G-RA,45-90,53296,60.0,5.0,16.0
MC,JU,G-RA,90-180,70030,125.0,6.0,36.0
MC,JU,G-RA,180-360,65469,211.0,51.0,94.0
MC,JU,G-RA,>360,28565,418.0,92.0,108.0
MC,MA,G-LON,<=15,54228,3.0,5.0,13.0
MC,MA,G-LON,15-30,10357,25.0,6.0,17.0
MC,MA,G-LON,30-45,15407,32.0,6.0,16.0
MC,MA,G-LON,45-90,53296,60.0,5.0,16.0
MC,MA,G-LON,90-180,70030,125.0,6.0,35.0
MC,MA,G-LON,180-360,65469,211.0,50.0,94.0
MC,MA,G-LON,>360,28565,418.0,92.0,109.0
MC,MA,G-RA,<=15,54228,3.0,5.0,13.0
MC,MA,G-RA,15-30,10357,25.0,6.0,17.0
MC,MA,G-RA,30-45,15407,32.0,6.0,16.0
MC,MA,G-RA,45-90,53296,60.0,5.0,16.0
MC,MA,G-RA,90-180,70030,125.0,6.0,36.0
MC,MA,G-RA,180-360,65469,211.0,51.0,94.0
MC,MA,G-RA,>360,28565,418.0,92.0,108.0
MC,ME,G-LON,<=15,54228,3.0,5.0,13.0
MC,ME,G-LON,15-30,10357,25.0,6.0,17.0
MC,ME,G-LON,30-45,15407,32.0,6.0,16.0
MC,ME,G-LON,45-90,53296,60.0,5.0,16.0
MC,ME,G-LON,90-180,70030,125.0,6.0,35.0
MC,ME,G-LON,180-360,65469,211.0,50.0,94.0
