feature_id,track,origin,target_body,origin_frame,target_frame,frozen_resolution,modality,n_prominent_lobes,modality_5deg,modality_6deg,peak_deg_mean,peak_circ_sd,peak_lift_mean,peak_lift_min,support_min,local_grad_mean,hs16_prior,prior_shift,drop_candidate,engine_v1_candidate
Asc x PA G-RA,geo,Asc,PA,G-RA,G-RA,5.0,multimodal,3,multimodal,multimodal,342.3,30.9,1.1676,1.1574,347,0.023483,87.0,105.0,False,True
EA x CE G-RA,geo,EA,CE,G-RA,G-RA,5.0,multimodal,3,multimodal,multimodal,5.4,62.6,1.1418,1.1247,323,0.020511,329.0,36.0,False,True
EA x MO G-RA,geo,EA,MO,G-RA,G-RA,5.0,multimodal,3,multimodal,multimodal,213.9,88.2,1.1464,1.1286,353,0.017938,79.0,135.0,False,True
EA x VS G-RA,geo,EA,VS,G-RA,G-RA,5.0,multimodal,3,multimodal,bimodal,54.8,84.1,1.1301,1.1129,203,0.026848,323.0,92.0,False,True
MC x CE G-RA,geo,MC,CE,G-RA,G-RA,5.0,multimodal,3,multimodal,multimodal,95.4,62.6,1.1418,1.1247,323,0.020511,59.0,36.0,False,True
MC x VS G-RA,geo,MC,VS,G-RA,G-RA,5.0,multimodal,3,multimodal,bimodal,144.8,84.1,1.1301,1.1129,203,0.026848,53.0,92.0,False,True
VX x MA G-RA,geo,VX,MA,G-RA,G-RA,6.0,multimodal,3,multimodal,multimodal,178.6,26.9,1.1771,1.1426,222,0.033964,169.0,10.0,False,True
VX x PA G-RA,geo,VX,PA,G-RA,G-RA,6.0,multimodal,3,multimodal,multimodal,66.8,81.8,1.131,1.1212,425,0.016733,219.0,152.0,False,True
Asc x JU G-AZ,geo,Asc,JU,G-AZ,G-AZ,6.0,unimodal_stable,3,unimodal_stable,unimodal_stable,38.0,-0.0,1.1729,1.1513,398,0.022716,70.0,32.0,False,True
Asc x NN G-AZ,geo,Asc,NN,G-AZ,G-AZ,6.0,multimodal,3,multimodal,multimodal,232.1,67.9,1.1512,1.1146,236,0.026013,295.0,63.0,False,True
EA x JU G-AZ,geo,EA,JU,G-AZ,G-AZ,6.0,unimodal_stable,3,unimodal_stable,unimodal_stable,47.0,0.9,1.1629,1.144,371,0.021626,80.0,33.0,False,True
EA x NN G-AZ,geo,EA,NN,G-AZ,G-AZ,6.0,multimodal,3,multimodal,multimodal,50.6,71.1,1.1476,1.1219,228,0.021633,82.0,31.0,False,True
Asc x SA G-AZ,geo,Asc,SA,G-AZ,G-AZ,6.0,unimodal_stable,3,unimodal_stable,unimodal_stable,235.6,1.2,1.2109,1.1783,213,0.027223,252.0,16.0,False,True
