name,relative_path,parent_folder,suffix,size_kb,category,inferred_frames,is_csv,is_figure,is_document,sha256
VX_x_UR_G-LON_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_UR_G-LON_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,70.31,topology_atlas,G-LON,True,False,False,93c9029b2035dd4dad4765e87f6f08cae8e87d0aee22b5213561161f9a97b514
EA_x_CE_G-AZ_HS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_CE_G-AZ_HS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,67.52,topology_atlas,G-AZ,True,False,False,1696e9144cc918daeda26d7ae5ea97b1548fd9ff7c9bf3015aabb3c22cc005c2
VX_x_UR_G-RA_BHW_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_UR_G-RA_BHW_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,70.05,topology_atlas,G-RA,True,False,False,7249d84682cf436c35bd4ebc07fdfc8bb248e2a8da1c5047fc1cd811fb45eae1
VX_x_UR_G-RA_GHL_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_UR_G-RA_GHL_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,70.19,topology_atlas,G-RA,True,False,False,20ed6b06932055c08e1b7a38004c7a4a6e8c4592184c8f20c89c894117ca637d
VX_x_UR_G-RA_BHW_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_UR_G-RA_BHW_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,70.2,topology_atlas,G-RA,True,False,False,838188e0915bb1670ba7b6ca302c967bd1cbbbcbdc74897e5d53b1bdbf766a11
EA_x_CE_G-LON_HS_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_CE_G-LON_HS_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.64,topology_atlas,G-LON,True,False,False,e16f8f38c1891fda37167245846b7b7a4f14ed1822f1be4eff4e3c7f2867142b
EA_x_CE_G-LON_LS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_CE_G-LON_LS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.38,topology_atlas,G-LON,True,False,False,3eb049b4814fcee46f4191262c35c9adfa8c5ed101d2c9388c0acac50e321c6a
EA_x_CE_G-LON_HS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_CE_G-LON_HS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.23,topology_atlas,G-LON,True,False,False,95f9ffec8dfcc4f8faeaa58f1660d5a62d3258aa54754d0c7a504459de1b121e
VX_x_UR_G-RA_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_UR_G-RA_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,69.96,topology_atlas,G-RA,True,False,False,7d9b6238d3a5e69d835491a32ca97cc7f3732ddcc2b31d622196e8cd0a3fd7cf
VX_x_VE_G-LON_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VE_G-LON_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.92,topology_atlas,G-LON,True,False,False,75fc38f869f0d7ee94186603f37155d2bb0237f394164053730bd759f1cbfe3e
