origin,body,frame,n_drift,drift_med_deg_per_day,drift_p90_deg_per_day
MC,NN,G-LON,3807,23.407242103878815,65.13154051865757
MC,NN,G-RA,3807,23.465433418617806,64.58238651654426
MC,PA,G-LON,3807,23.48843233907911,65.08453911818143
MC,PA,G-RA,3807,23.499999999999986,64.5762390186222
MC,PFdn,G-LON,3807,12.974264225889385,21.87710429212251
MC,PFdn,G-RA,3807,12.980995009502351,22.109381509440855
MC,PFff,G-LON,3807,12.60709071398309,18.99740625810068
MC,PFff,G-RA,3807,12.591406471986042,19.494934055607835
MC,PL,G-LON,3807,23.443617432941878,65.01109918204133
MC,PL,G-RA,3807,23.490087238519756,64.47305512484596
MC,SA,G-LON,3807,23.453146265411647,65.15326472832338
MC,SA,G-RA,3807,23.5,64.5380568472904
MC,SU,G-LON,3807,23.738907494128796,64.96821749386973
MC,SU,G-RA,3807,23.638422310871704,64.44766650262882
MC,UR,G-LON,3807,23.418110929446726,65.06936144249575
MC,UR,G-RA,3807,23.556806200204335,64.35420245611965
MC,VE,G-LON,3807,23.75511708306493,65.05481550588318
MC,VE,G-RA,3807,23.704825271646826,64.75624117613003
MC,VS,G-LON,3807,23.463069322326874,65.08744627625293
MC,VS,G-RA,3807,23.51203427208988,64.43245696596392
MO,CE,G-LON,3807,12.799990953913408,15.259522802762763
MO,CE,G-RA,3807,12.78570518222628,15.5
MO,JN,G-LON,3807,12.800016653112834,15.249839179704074
MO,JN,G-RA,3807,12.783199569535071,15.501937649576837
MO,JU,G-LON,3807,12.933330655567914,15.366756275899046
MO,JU,G-RA,3807,12.933391711924742,15.647681876793284
MO,MA,G-LON,3807,12.466731186721265,14.962773106889266
MO,MA,G-RA,3807,12.466709150261067,15.183519983273264
MO,ME,G-LON,3807,11.999999999999972,14.66653484311868
MO,ME,G-RA,3807,12.0,14.84747777614643
MO,NE,G-LON,3807,13.0,15.46671280420945
MO,NE,G-RA,3807,13.0,15.753699463570658
MO,NN,G-LON,3807,13.0,15.500065071845597
MO,NN,G-RA,3807,13.000000000000028,15.81090218585386
MO,PA,G-LON,3807,12.799974557684834,15.284116290676781
MO,PA,G-RA,3807,12.80441403201462,15.590570703167362
MO,PL,G-LON,3807,13.0,15.47907740070445
MO,PL,G-RA,3807,13.0,15.750127679707095
MO,SA,G-LON,3807,12.993900351971906,15.466770474335899
MO,SA,G-RA,3807,13.0,15.718157869957565
MO,SU,G-LON,3807,12.0,14.400101552585948
MO,SU,G-RA,3807,12.000000000000028,14.733358905651045
MO,UR,G-LON,3807,12.999999999999998,15.466764727767337
MO,UR,G-RA,3807,13.0,15.711148261466636
MO,VE,G-LON,3807,12.0,14.463629770776425
MO,VE,G-RA,3807,11.999999999999943,14.714472184116357
MO,VS,G-LON,3807,12.733416782898331,15.166713752890697
MO,VS,G-RA,3807,12.733432213964193,15.434283120089788
VX G-LON,MO,G-LON_x_G-AZ,3807,14.08544061315169,37.28046826033965
VX G-LON,MO,G-LON_x_G-RA,3807,25.830737511894426,87.48927447894994
VX G-RA,MO,G-RA_x_G-AZ,3807,14.165914948100841,36.583634998216255
VX G-RA,MO,G-RA_x_G-LON,3807,25.97134579664217,86.65156191403575
VX,CE,G-LON,3807,21.693254685556553,87.83050940926236
VX,CE,G-RA,3807,21.634609701486816,87.28238435723819
VX,JN,G-LON,3807,21.712664564175057,87.81506536882875
VX,JN,G-RA,3807,21.679843194376758,87.05217372536616
VX,JU,G-LON,3807,21.84735720202579,87.87682050620688
VX,JU,G-RA,3807,21.541413692951966,87.2271861499669
VX,MA,G-LON,3807,21.753942953666893,87.4952910082413
VX,MA,G-RA,3807,21.742707672433426,87.02855555559108
VX,ME,G-LON,3807,21.70896678350401,87.62064760739486
VX,ME,G-RA,3807,21.689407790969838,87.10968984306973
VX,MO,G-LON,3807,25.895684702137203,87.32162842745205
VX,MO,G-RA,3807,25.847911715725132,86.35022916546609
VX,NE,G-LON,3807,21.78704241558262,87.7856395105305
VX,NE,G-RA,3807,21.60307613890177,86.99267695727988
VX,NN,G-LON,3807,21.732568712692107,87.96503129624291
VX,NN,G-RA,3807,21.671620516113528,87.14772224808004
VX,PA,G-LON,3807,21.782611548714442,87.73730600816344
VX,PA,G-RA,3807,21.66828734119474,87.12062770024517
VX,PFdn,G-LON,3807,15.13308856213888,50.702378028191816
VX,PFdn,G-RA,3807,15.473269672239482,50.03420246570405
VX,PFff,G-LON,3807,14.765662404500063,45.80974190788104
VX,PFff,G-RA,3807,15.06386703183739,45.397652506808065
VX,PL,G-LON,3807,21.725565890954,87.80586849443874
VX,PL,G-RA,3807,21.5,87.14246263585268
VX,SA,G-LON,3807,21.701853067580927,87.83349606565406
VX,SA,G-RA,3807,21.590873019812534,87.0551181055186
VX,SU,G-LON,3807,21.733899246989154,87.5578546204178
VX,SU,G-RA,3807,21.809152918460427,87.02779892872569
VX,UR,G-LON,3807,21.66026953060782,87.80764201936425
VX,UR,G-RA,3807,21.518010935706172,87.06649412453363
VX,VE,G-LON,3807,21.741622937484195,87.83676712359355
VX,VE,G-RA,3807,21.87824897895257,87.2647749526632
VX,VS,G-LON,3807,21.724572415997244,87.83322062648234
VX,VS,G-RA,3807,21.53052744457919,87.18964282097365
