feature_id,source_file,system_pair,origin,origin_frame,target_body,target_frame,same_or_cross,origin_category,coverage_tier,coverage_tier_normalized,coverage_validity_class,analysis_scope_flag,characterization_status,descriptor_candidate_status,analysis_layers_present,outcome_pole_field_count,has_paper1_data,has_phase1p5_data,has_fsa_data,has_hlon_data,has_step2c_data,has_operating_point_data,has_priority_data,has_phase3c_data,has_HS_fields,has_LS_fields,has_BHW_fields,has_GHL_fields,paper1_HS_peak_degree,paper1_LS_peak_degree,paper1_HS_peak_lift,paper1_LS_peak_lift,paper1_HS_support,paper1_LS_support,hlon_HS_peak_degree,hlon_LS_peak_degree,hlon_BHW_peak_degree,hlon_GHL_peak_degree,hlon_HS_peak_lift,hlon_LS_peak_lift,hlon_BHW_peak_lift,hlon_GHL_peak_lift,hlon_HS_support,hlon_LS_support,hlon_BHW_support,hlon_GHL_support,fsa_operational_class,fsa_resolution_mode,fsa_recommended_resolution,fsa_velocity,fsa_drift,step2c_HS_peak_degree,step2c_LS_peak_degree,step2c_HS_peak_lift,step2c_LS_peak_lift,operating_HS_peak_degree,operating_LS_peak_degree,operating_HS_peak_lift,operating_LS_peak_lift,phase3c_origin_class,phase3c_reliable_high,phase3c_reliable_low,is_characterized,is_coverage_clean_for_engine,engine_candidate_pool,engine_candidate_strength,representation_development_pool,representation_development_reason,margin_track_status,primary_modeling_track,descriptor_evidence_only,requires_oof_validation_before_candidate_selection,safe_for_direct_predictive_claim,registry_build_seed,registry_input_sha256,registry_run_timestamp_utc
Asc G-AZ x VS G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,VS,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,190.0,203.0,1.7798973735835826,1.5357491098593516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x PA G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,PA,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,21.0,203.0,1.497569425413429,1.809094079585368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x JU G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,JU,G-LON,cross,angle_origin,Tier B,Tier B,coverage_clean_or_rotationally_supported,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,130.0,14.0,1.6689106622572307,1.4839935682859935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x NN G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,NN,G-LON,cross,angle_origin,Tier B,Tier B,coverage_clean_or_rotationally_supported,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,353.0,150.0,1.732296788471704,1.747375066824408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x SA G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,SA,G-LON,cross,angle_origin,Tier C,Tier C,coverage_clean_or_rotationally_supported,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,302.0,264.0,2.08551601736259,1.9634109022041648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x UR G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,UR,G-LON,cross,angle_origin,Sparse-coverage,Sparse-coverage,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,194.0,190.0,2.29470511270238,5.276963926020875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x NE G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,NE,G-LON,cross,angle_origin,Sparse-coverage,Sparse-coverage,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,184.0,177.0,1.7996307280962405,5.276963926020875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x PL G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,PL,G-LON,cross,angle_origin,Sparse-coverage,Sparse-coverage,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,129.0,230.0,1.880844583784671,1.5145644033083585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x Asc G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,Asc,G-LON,cross,angle_origin,,,coverage_unclassified,in_scope,unanalyzed,not_yet_characterized,0,0,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,,False,,margin_BHW_GHL_not_available,not_yet_characterized,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x MC G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,MC,G-LON,cross,angle_origin,,,coverage_unclassified,in_scope,unanalyzed,not_yet_characterized,0,0,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,,False,,margin_BHW_GHL_not_available,not_yet_characterized,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x VX G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,VX,G-LON,cross,angle_origin,,,coverage_unclassified,in_scope,unanalyzed,not_yet_characterized,0,0,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,,False,,margin_BHW_GHL_not_available,not_yet_characterized,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x MO G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,MO,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,richly_characterized,well_characterized_descriptor_candidate,4,4,True,False,True,False,True,True,False,False,True,True,True,True,344.0,130.0,1.4571321943054247,1.5340068448802882,,,,,,,,,,,,,,,marginal,same-slate,2.0,1.0,13.428893435292366,285.0,34.0,1.1319654411330644,1.122115537637261,285.0,34.0,1.1319654411330644,1.122115537637261,,,,True,True,True,A_rich_clean,False,,margin_BHW_GHL_available_but_paused,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x ME G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,ME,G-LON,cross,angle_origin,Constrained-motion,Constrained-motion,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,246.0,137.0,1.8750406662762715,1.908352588630926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x VE G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,VE,G-LON,cross,angle_origin,Constrained-motion,Constrained-motion,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,227.0,187.0,7.500162665105082,10.55392785204175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x SU G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,SU,G-LON,cross,angle_origin,Constrained-motion,Constrained-motion,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,264.0,115.0,5.625121998828812,3.0868255146197305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x MA G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,MA,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,214.0,177.0,1.6058182978344273,1.6093737425600372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x JN G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,JN,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,225.0,276.0,1.74366026585011,1.5732132762787732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x CE G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,CE,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,78.0,201.0,1.5849836297310167,1.5009532499947866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x VS G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,VS,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,195.0,128.0,1.9308991153517645,1.7712567786165685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x PA G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,PA,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,27.0,220.0,1.6043250213023608,1.634017141622205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x JU G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,JU,G-LON,cross,angle_origin,Tier B,Tier B,coverage_clean_or_rotationally_supported,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,204.0,20.0,1.7427112412639492,1.8205776112859675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x NN G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,NN,G-LON,cross,angle_origin,Tier B,Tier B,coverage_clean_or_rotationally_supported,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,7.0,82.0,1.6217619059894492,1.620283918842116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x SA G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,SA,G-LON,cross,angle_origin,Tier C,Tier C,coverage_clean_or_rotationally_supported,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,309.0,276.0,2.1965813051061347,5.276963926020877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x UR G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,UR,G-LON,cross,angle_origin,Sparse-coverage,Sparse-coverage,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,212.0,326.0,1.6864400101986103,1.4441503322631937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x NE G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,NE,G-LON,cross,angle_origin,Sparse-coverage,Sparse-coverage,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,287.0,275.0,1.8136554063684165,1.3545993286452174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
EA G-AZ x PL G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,EA,G-AZ,PL,G-LON,cross,angle_origin,Sparse-coverage,Sparse-coverage,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,142.0,218.0,1.604246502585868,1.303987609116758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
MO G-AZ x ME G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,MO,G-AZ,ME,G-LON,cross,moon_origin,Constrained-motion,Constrained-motion,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,32.0,104.0,1.410241087408872,1.4236517524667454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
