modeling_universe_id,modeling_universe_name,modeling_role,modeling_universe_rule,feature_id,source_file,system_pair,origin,origin_frame,target_body,target_frame,same_or_cross,origin_category,coverage_tier_normalized,coverage_validity_class,characterization_status,engine_candidate_strength,candidate_strength_rank,representation_development_reason,primary_modeling_track,analysis_layers_present,has_paper1_data,has_phase1p5_data,has_fsa_data,has_hlon_data,has_step2c_data,has_operating_point_data,has_priority_data,has_phase3c_data,has_HS_fields,has_LS_fields,has_BHW_fields,has_GHL_fields,margin_track_status,paper1_HS_peak_degree,paper1_LS_peak_degree,paper1_HS_peak_lift,paper1_LS_peak_lift,paper1_HS_support,paper1_LS_support,hlon_HS_peak_degree,hlon_LS_peak_degree,hlon_HS_peak_lift,hlon_LS_peak_lift,hlon_HS_support,hlon_LS_support,step2c_HS_peak_degree,step2c_LS_peak_degree,step2c_HS_peak_lift,step2c_LS_peak_lift,operating_HS_peak_degree,operating_LS_peak_degree,operating_HS_peak_lift,operating_LS_peak_lift,fsa_operational_class,fsa_resolution_mode,fsa_recommended_resolution,fsa_velocity,fsa_drift,descriptor_evidence_only,requires_oof_validation_before_candidate_selection,safe_for_direct_predictive_claim,holdout_status,target_track,margin_track_status_note,predictive_claim_status,universe_manifest_version,universe_manifest_input_sha256,universe_manifest_seed,universe_manifest_run_timestamp_utc
C,Representation-development candidates,not_first_pass_model_input,representation_development_pool == True,Asc x PL G-LON,MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,G-LON x G-LON,Asc,G-LON,PL,G-LON,same,angle_origin,Sparse-coverage,quarantine_or_special_handling,richly_characterized,,99,quarantine_or_special_handling,representation_development_not_first_pass,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,195.0,213.0,4.187590821350337,2.7362035171960097,,,,,,,,,270.0,212.0,1.1975241228128166,1.5784783161021751,270.0,211.0,1.1975241228128166,1.757719443571653,same-slate-discriminator,same-slate,5.0,5.0,22.00785148124536,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
C,Representation-development candidates,not_first_pass_model_input,representation_development_pool == True,Asc x UR G-LON,MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,G-LON x G-LON,Asc,G-LON,UR,G-LON,same,angle_origin,Sparse-coverage,quarantine_or_special_handling,richly_characterized,,99,quarantine_or_special_handling,representation_development_not_first_pass,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,304.0,270.0,2.000043377361356,1.8436548354145863,,,,,,,,,310.0,286.0,1.261086974342159,1.4919036125404488,310.0,286.0,1.261086974342159,1.4919036125404488,same-slate-discriminator,same-slate,5.0,5.0,22.02720716306979,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
C,Representation-development candidates,not_first_pass_model_input,representation_development_pool == True,EA x NE G-LON,MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,G-LON x G-LON,EA,G-LON,NE,G-LON,same,angle_origin,Sparse-coverage,quarantine_or_special_handling,richly_characterized,,99,quarantine_or_special_handling,representation_development_not_first_pass,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,287.0,273.0,1.5065886192667377,2.010271971817476,,,,,,,,,286.0,282.0,1.444517806973746,1.6765204475370932,286.0,282.0,1.444517806973746,1.6765204475370932,same-slate-discriminator,same-slate,5.0,5.0,23.68722713265413,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
C,Representation-development candidates,not_first_pass_model_input,representation_development_pool == True,EA x PL G-LON,MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,G-LON x G-LON,EA,G-LON,PL,G-LON,same,angle_origin,Sparse-coverage,quarantine_or_special_handling,richly_characterized,,99,quarantine_or_special_handling,representation_development_not_first_pass,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,211.0,196.0,2.6250569327867788,2.235397684104735,,,,,,,,,233.0,229.0,1.375731244736901,1.5121556977785546,233.0,229.0,1.375731244736901,1.5121556977785546,same-slate-discriminator,same-slate,5.0,5.0,23.717077061939904,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
C,Representation-development candidates,not_first_pass_model_input,representation_development_pool == True,EA x UR G-LON,MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,G-LON x G-LON,EA,G-LON,UR,G-LON,same,angle_origin,Sparse-coverage,quarantine_or_special_handling,richly_characterized,,99,quarantine_or_special_handling,representation_development_not_first_pass,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,290.0,284.0,1.646182319289668,2.0236653614474363,,,,,,,,,324.0,285.0,1.253755073328542,1.4077449472176542,324.0,285.0,1.253755073328542,1.4077449472176542,same-slate-discriminator,same-slate,5.0,5.0,23.65430403840574,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
C,Representation-development candidates,not_first_pass_model_input,representation_development_pool == True,MC x NE G-LON,MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,G-LON x G-LON,MC,G-LON,NE,G-LON,same,angle_origin,Sparse-coverage,quarantine_or_special_handling,richly_characterized,,99,quarantine_or_special_handling,representation_development_not_first_pass,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,358.0,351.0,2.1875474439889824,5.228103148928091,,,,,,,,,20.0,16.0,1.3707467112414775,1.5738763385042098,20.0,16.0,1.3707467112414775,1.5738763385042098,same-slate-discriminator,same-slate,5.0,5.0,23.41760741283609,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
C,Representation-development candidates,not_first_pass_model_input,representation_development_pool == True,MC x PL G-LON,MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,G-LON x G-LON,MC,G-LON,PL,G-LON,same,angle_origin,Sparse-coverage,quarantine_or_special_handling,richly_characterized,,99,quarantine_or_special_handling,representation_development_not_first_pass,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,303.0,315.0,2.3250504261825755,2.1509910098447,,,,,,,,,325.0,284.0,1.2848810681976717,1.592447150757947,325.0,284.0,1.2848810681976717,1.592447150757947,same-slate-discriminator,same-slate,5.0,5.0,23.44361743294188,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
C,Representation-development candidates,not_first_pass_model_input,representation_development_pool == True,MC x UR G-LON,MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,G-LON x G-LON,MC,G-LON,UR,G-LON,same,angle_origin,Sparse-coverage,quarantine_or_special_handling,richly_characterized,,99,quarantine_or_special_handling,representation_development_not_first_pass,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,24.0,9.0,1.806133892308561,1.878092503751836,,,,,,,,,55.0,27.0,1.323107645211446,1.4678177992325785,55.0,27.0,1.323107645211446,1.4678177992325785,same-slate-discriminator,same-slate,5.0,5.0,23.418110929446726,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
C,Representation-development candidates,not_first_pass_model_input,representation_development_pool == True,ME x NE G-LON,MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,G-LON x G-LON,ME,G-LON,NE,G-LON,same,heliocentric_origin,Sparse-coverage,quarantine_or_special_handling,lightly_characterized,,99,quarantine_or_special_handling,representation_development_not_first_pass,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,77.0,1.0,2.812560999414406,1.892244640138799,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
C,Representation-development candidates,not_first_pass_model_input,representation_development_pool == True,ME x PL G-LON,MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,G-LON x G-LON,ME,G-LON,PL,G-LON,same,heliocentric_origin,Sparse-coverage,quarantine_or_special_handling,lightly_characterized,,99,quarantine_or_special_handling,representation_development_not_first_pass,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,24.0,40.0,3.750081332552541,2.014504123337092,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
