feature_id,feature_key,source_file,source_path,system_pair,matrix_rows,matrix_aspect_feature_columns,feature_name,origin,origin_frame,target_body,target_frame,same_or_cross,origin_category,coverage_tier,h_lon_origin_in_scope,analysis_scope_flag
Asc G-AZ x UR G-LON,ASC_G_AZ_UR_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x UR G-LON,Asc,G-AZ,UR,G-LON,cross,angle_origin,Sparse-coverage,True,in_scope
Asc G-AZ x NE G-LON,ASC_G_AZ_NE_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x NE G-LON,Asc,G-AZ,NE,G-LON,cross,angle_origin,Sparse-coverage,True,in_scope
Asc G-AZ x PL G-LON,ASC_G_AZ_PL_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x PL G-LON,Asc,G-AZ,PL,G-LON,cross,angle_origin,Sparse-coverage,True,in_scope
EA G-AZ x Asc G-LON,EA_G_AZ_ASC_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,EA G-AZ x Asc G-LON,EA,G-AZ,Asc,G-LON,cross,angle_origin,,True,in_scope
EA G-AZ x MC G-LON,EA_G_AZ_MC_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,EA G-AZ x MC G-LON,EA,G-AZ,MC,G-LON,cross,angle_origin,,True,in_scope
EA G-AZ x VX G-LON,EA_G_AZ_VX_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,EA G-AZ x VX G-LON,EA,G-AZ,VX,G-LON,cross,angle_origin,,True,in_scope
EA G-AZ x MO G-LON,EA_G_AZ_MO_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,EA G-AZ x MO G-LON,EA,G-AZ,MO,G-LON,cross,angle_origin,Tier A,True,in_scope
EA G-AZ x ME G-LON,EA_G_AZ_ME_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,EA G-AZ x ME G-LON,EA,G-AZ,ME,G-LON,cross,angle_origin,Constrained-motion,True,in_scope
EA G-AZ x VE G-LON,EA_G_AZ_VE_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,EA G-AZ x VE G-LON,EA,G-AZ,VE,G-LON,cross,angle_origin,Constrained-motion,True,in_scope
EA G-AZ x SU G-LON,EA_G_AZ_SU_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,EA G-AZ x SU G-LON,EA,G-AZ,SU,G-LON,cross,angle_origin,Constrained-motion,True,in_scope
