modeling_universe_id,modeling_universe_name,modeling_role,modeling_universe_rule,feature_id,source_file,system_pair,origin,origin_frame,target_body,target_frame,same_or_cross,origin_category,coverage_tier_normalized,coverage_validity_class,characterization_status,engine_candidate_strength,candidate_strength_rank,representation_development_reason,primary_modeling_track,analysis_layers_present,has_paper1_data,has_phase1p5_data,has_fsa_data,has_hlon_data,has_step2c_data,has_operating_point_data,has_priority_data,has_phase3c_data,has_HS_fields,has_LS_fields,has_BHW_fields,has_GHL_fields,margin_track_status,paper1_HS_peak_degree,paper1_LS_peak_degree,paper1_HS_peak_lift,paper1_LS_peak_lift,paper1_HS_support,paper1_LS_support,hlon_HS_peak_degree,hlon_LS_peak_degree,hlon_HS_peak_lift,hlon_LS_peak_lift,hlon_HS_support,hlon_LS_support,step2c_HS_peak_degree,step2c_LS_peak_degree,step2c_HS_peak_lift,step2c_LS_peak_lift,operating_HS_peak_degree,operating_LS_peak_degree,operating_HS_peak_lift,operating_LS_peak_lift,fsa_operational_class,fsa_resolution_mode,fsa_recommended_resolution,fsa_velocity,fsa_drift,descriptor_evidence_only,requires_oof_validation_before_candidate_selection,safe_for_direct_predictive_claim,holdout_status,target_track,margin_track_status_note,predictive_claim_status,universe_manifest_version,universe_manifest_input_sha256,universe_manifest_seed,universe_manifest_run_timestamp_utc
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",MO G-RA x JN G-AZ,MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,G-RA x G-AZ,MO,G-RA,JN,G-AZ,cross,moon_origin,Tier A,coverage_clean,lightly_characterized,C_light_clean,3,,HS_LS_first_pass_candidate,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,24.0,116.0,1.4002247463591813,1.5283696845843184,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",MO G-RA x MA G-AZ,MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,G-RA x G-AZ,MO,G-RA,MA,G-AZ,cross,moon_origin,Tier A,coverage_clean,lightly_characterized,C_light_clean,3,,HS_LS_first_pass_candidate,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,122.0,323.0,1.4658021568585642,1.4717526865639436,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",MO G-RA x PA G-AZ,MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,G-RA x G-AZ,MO,G-RA,PA,G-AZ,cross,moon_origin,Tier A,coverage_clean,lightly_characterized,C_light_clean,3,,HS_LS_first_pass_candidate,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,4.0,120.0,1.4070075863991949,1.4589059626462282,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",MO G-RA x VS G-AZ,MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,G-RA x G-AZ,MO,G-RA,VS,G-AZ,cross,moon_origin,Tier A,coverage_clean,lightly_characterized,C_light_clean,3,,HS_LS_first_pass_candidate,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,337.0,284.0,1.468721834067724,1.460769086091026,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",VX G-RA x CE G-AZ,MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,G-RA x G-AZ,VX,G-RA,CE,G-AZ,cross,angle_origin,Tier A,coverage_clean,lightly_characterized,C_light_clean,3,,HS_LS_first_pass_candidate,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,261.0,288.0,1.5375062894826703,1.648675374750041,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",VX G-RA x JN G-AZ,MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,G-RA x G-AZ,VX,G-RA,JN,G-AZ,cross,angle_origin,Tier A,coverage_clean,lightly_characterized,C_light_clean,3,,HS_LS_first_pass_candidate,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,246.0,35.0,1.467443638614415,1.6294577222278457,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",VX G-RA x MA G-AZ,MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,G-RA x G-AZ,VX,G-RA,MA,G-AZ,cross,angle_origin,Tier A,coverage_clean,lightly_characterized,C_light_clean,3,,HS_LS_first_pass_candidate,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,351.0,347.0,1.7461418262668162,1.495110046314849,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",VX G-RA x PA G-AZ,MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,G-RA x G-AZ,VX,G-RA,PA,G-AZ,cross,angle_origin,Tier A,coverage_clean,lightly_characterized,C_light_clean,3,,HS_LS_first_pass_candidate,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,112.0,351.0,1.5840471225477355,1.478071487842495,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",VX G-RA x VS G-AZ,MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,G-RA x G-AZ,VX,G-RA,VS,G-AZ,cross,angle_origin,Tier A,coverage_clean,lightly_characterized,C_light_clean,3,,HS_LS_first_pass_candidate,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,330.0,63.0,1.867511410072405,1.633234534506831,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",Asc G-RA x CE G-LON,MLB 2000-no02-2024 Cross-System G-RA to G-LON.csv,G-RA x G-LON,Asc,G-RA,CE,G-LON,cross,angle_origin,Tier A,coverage_clean,lightly_characterized,C_light_clean,3,,HS_LS_first_pass_candidate,1,True,False,False,False,False,False,False,False,True,True,False,False,margin_BHW_GHL_not_available,325.0,16.0,1.479239327865843,1.452581856571881,,,,,,,,,,,,,,,,,,,,,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
